N,nbFun,estParam,counteval,success,nbSplit,nbMerge,dt,ft,cdiv,recovery,tooYoung,mud,maxV
5, 2, recovery, 2616.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
2, 0, recovery, 438.000000, 1, 13, 12, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
4, 3, recovery, 6832.000000, 1, 1, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
5, 1, recovery, 3080.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 3, recovery, 6832.000000, 1, 1, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 0, recovery, 438.000000, 1, 13, 12, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 438.000000, 1, 13, 12, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
5, 1, recovery, 3080.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 1, recovery, 3080.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 3, recovery, 2920.000000, 1, 6, 6, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
5, 1, recovery, 3080.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
4, 1, recovery, 3600.000000, 1, 5, 4, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 3, recovery, 2920.000000, 1, 6, 6, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 1, recovery, 1771.000000, 1, 11, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
4, 1, recovery, 2248.000000, 1, 5, 3, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
5, 3, recovery, 6888.000000, 1, 2, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 3, recovery, 6888.000000, 1, 2, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 3, recovery, 6888.000000, 1, 2, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 3, recovery, 2920.000000, 1, 6, 6, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 2, recovery, 1687.000000, 1, 6, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
